cluster_id,size,share,median_probability,mean_outlier_score,intra_cluster_cosine,representative_customer_message_ids
113,53,0.0005688465294995224,1.0,0.060081939245265704,0.8667908906936646,105249;288993;1947055;1408067;1459745;1496033;1238754;1445410
114,49,0.0005259147159523886,1.0,0.11717812168078723,0.7470488548278809,264962;439315;2283985;1768222;197727;317908;503463;1094273
115,255,0.0027369031136297776,0.5018957388010877,0.4117931096458732,0.47398674488067627,2283879;1601858;467378;1452396;2560192;1186518;2622491;2954315
116,44,0.0004722499490184714,1.0,0.08460511026229105,0.7906999588012695,2766895;1748610;814893;2829458;83345;318214;1829420;1437409
117,33,0.00035418746176385356,1.0,0.0011790435851201729,0.7176072001457214,1209471;191770;2540382;2532222;1665804;816978;2866037;182609
118,77,0.000826437410782325,1.0,0.027610401764794422,0.4511394202709198,1556278;183378;2162402;142907;31374;218893;249063;2410527
119,35,0.00037565336853742046,1.0,0.0011668811540235045,0.47255411744117737,2622461;1131299;1115242;778886;2192387;2113725;956291;1315513
120,75,0.000804971504008758,0.9585707413497607,0.0778054447298166,0.5660728812217712,347363;927823;665689;167942;206838;2276825;757789;1145961
121,93,0.00099816466497086,0.8281654363857108,0.15211080347768732,0.7320104837417603,498352;1578555;2500785;814401;1298971;1597020;1996386;888264
122,580,0.006225112964334396,0.9595859257865438,0.36068387370045374,0.4700074791908264,2390429;490484;965077;198099;988883;1806927;1689249;361038
123,37,0.0003971192753109873,1.0,0.010139704506452163,0.7820931077003479,2135775;1121253;1014757;1251992;383320;2840210;1737631;2508076
124,31,0.00033272155499028665,1.0,0.0013008357169255616,0.7801551818847656,2162367;788227;1760398;2499112;2283505;2719972;810294;2849071
125,101,0.0010840282920651276,0.807785390472691,0.20793253470115328,0.6998500227928162,2754642;2961792;825070;611109;430600;384810;1439137;941340
126,120,0.001287954406414013,0.46899131721230647,0.44561623117639615,0.6188993453979492,2104919;553430;2740617;2249765;987781;2573780;2791910;5317
127,87,0.0009337669446501594,0.9246734222597599,0.1064750913893256,0.872871458530426,44535;477803;2730315;1838872;1391199;2597932;2705738;2241044
128,36,0.0003863863219242039,1.0,0.054452655450281134,0.9602331519126892,1221770;2974797;1411662;1263400;964197;15706;227936;802346
129,35,0.00037565336853742046,1.0,0.0017403633215705313,0.5452794432640076,269493;2615141;798801;789043;440997;735334;1415558;1467676
130,197,0.002114391817196338,0.6002536412615468,0.3543759797219093,0.6571622490882874,2310063;1080663;2242538;2310475;575340;1210202;1041663;1150863
